source,target,Value
K00399,K00400,0.914562883226867
K00399,K02322,0.9146363699656213
K00400,K02322,0.9006123423219983
K00399,K02663,-0.0148418669329936
K00400,K02663,-0.0612500347947255
K02322,K02663,-0.0239717703569637
K00399,K03006,0.2828363513954165
K00400,K03006,0.2995060808761511
K02322,K03006,0.3016747007390943
K02663,K03006,0.0375248247768231
K00399,K03041,0.8845660421883821
K00400,K03041,0.8905504984574801
K02322,K03041,0.8832797073804837
K02663,K03041,-0.013401964989503
K03006,K03041,0.3319929289364217
K00399,K03042,0.8965706717642732
K00400,K03042,0.9125187348415212
K02322,K03042,0.8843293900213353
K02663,K03042,-0.046198218280635
K03006,K03042,0.2920485824679462
K03041,K03042,0.880251132169603
K00399,K03231,0.8714957557390659
K00400,K03231,0.866372115813507
K02322,K03231,0.8686621639505223
K02663,K03231,0.0397599259116045
K03006,K03231,0.4361134122998927
K03041,K03231,0.884007067819831
K03042,K03231,0.8493591641900214
K00399,K03243,0.8850192505660834
K00400,K03243,0.8540236768193508
K02322,K03243,0.8629677764310109
K02663,K03243,-0.0091978029270361
K03006,K03243,0.3919834572606073
K03041,K03243,0.8690556024553974
K03042,K03243,0.8497441139270898
K03231,K03243,0.9072983924887976
K00399,K03278,0.130069130466929
K00400,K03278,0.1296280643813044
K02322,K03278,0.1237816367033308
K02663,K03278,0.0169522208327109
K03006,K03278,-0.0236085430065614
K03041,K03278,0.1306936585387872
K03042,K03278,0.1657622388080723
K03231,K03278,0.1126076452163812
K03243,K03278,0.1007854179221596
K00399,K03289,0.2718728971863195
K00400,K03289,0.2463715037097488
K02322,K03289,0.2565018289043418
K02663,K03289,-0.1702494493864585
K03006,K03289,0.1472219671771887
K03041,K03289,0.2779355340773706
K03042,K03289,0.2119104683592284
K03231,K03289,0.2588805184170283
K03243,K03289,0.2689706466581351
K03278,K03289,-0.0420777257421932
K00399,K06932,0.9314846541520172
K00400,K06932,0.933529592554412
K02322,K06932,0.9294251875736104
K02663,K06932,-0.025255272313625
K03006,K06932,0.3018424139065965
K03041,K06932,0.8843371005060865
K03042,K06932,0.897048484672771
K03231,K06932,0.8657321091338628
K03243,K06932,0.8786518197691204
K03278,K06932,0.1063098633904226
K03289,K06932,0.2538009111601517
K00399,K07463,0.9240090050486433
K00400,K07463,0.9141214328407884
K02322,K07463,0.9310001230485092
K02663,K07463,-0.0172327628118163
K03006,K07463,0.2904142521011804
K03041,K07463,0.8890006227625878
K03042,K07463,0.8921070072194413
K03231,K07463,0.8801864680203234
K03243,K07463,0.8770078157581833
K03278,K07463,0.1159221234527005
K03289,K07463,0.2489363453682563
K06932,K07463,0.9179306116876192
K00399,K10725,0.9213076089348872
K00400,K10725,0.9288276963294236
K02322,K10725,0.9242125184896668
K02663,K10725,-0.0351470041116665
K03006,K10725,0.3169405446539302
K03041,K10725,0.8847803530419793
K03042,K10725,0.8965711295235712
K03231,K10725,0.8696756311291877
K03243,K10725,0.8780971004524141
K03278,K10725,0.1365980004154378
K03289,K10725,0.2632293118394239
K06932,K10725,0.9264338570631496
K07463,K10725,0.9358357962290444
K00399,K11707,-0.1856333149767622
K00400,K11707,-0.1896177321055839
K02322,K11707,-0.1429255515983103
K02663,K11707,0.0096112059795302
K03006,K11707,-0.0580767264122434
K03041,K11707,-0.2191188282973595
K03042,K11707,-0.1764088083566888
K03231,K11707,-0.2025577944000483
K03243,K11707,-0.2185871175654573
K03278,K11707,-0.0211939523724926
K03289,K11707,-0.1184540890086722
K06932,K11707,-0.1824652202555759
K07463,K11707,-0.1880209620494408
K10725,K11707,-0.182086820222669
K00399,K11708,-0.1780213311921996
K00400,K11708,-0.1686910928622491
K02322,K11708,-0.1489612629093291
K02663,K11708,-0.0184340235546124
K03006,K11708,-0.0444102791407099
K03041,K11708,-0.2018461730487044
K03042,K11708,-0.1676597467799263
K03231,K11708,-0.1886467774446248
K03243,K11708,-0.2118105619175307
K03278,K11708,-0.0412333497221757
K03289,K11708,-0.1092720184964492
K06932,K11708,-0.1701136024934282
K07463,K11708,-0.1640868724874371
K10725,K11708,-0.1633233425421716
K11707,K11708,0.8966415733581463
K00399,K11709,-0.198081183079969
K00400,K11709,-0.1885071762510929
K02322,K11709,-0.1572229823248501
K02663,K11709,0.0048248593343864
K03006,K11709,-0.0806297713601993
K03041,K11709,-0.2226900849101077
K03042,K11709,-0.178192813598795
K03231,K11709,-0.208371183772612
K03243,K11709,-0.2254332023948264
K03278,K11709,-0.0139422436838778
K03289,K11709,-0.1393332667998492
K06932,K11709,-0.1960715824852678
K07463,K11709,-0.1861127249622738
K10725,K11709,-0.1867746078677205
K11707,K11709,0.9146682464363924
K11708,K11709,0.8976765197932951
K00399,K11710,-0.1786892065785991
K00400,K11710,-0.1671143486912532
K02322,K11710,-0.1495830027819936
K02663,K11710,0.0147844887176111
K03006,K11710,0.0044672311988474
K03041,K11710,-0.2035652253373212
K03042,K11710,-0.1631727140284176
K03231,K11710,-0.154930558200297
K03243,K11710,-0.1668548706186349
K03278,K11710,-0.0199525252859116
K03289,K11710,-0.0973281822065968
K06932,K11710,-0.1696453129762403
K07463,K11710,-0.1680859501357446
K10725,K11710,-0.1520753602972757
K11707,K11710,0.8848350916051452
K11708,K11710,0.8796043679343185
K11709,K11710,0.8629535301139724
K00399,K13933,0.0136162448607276
K00400,K13933,-0.0159362183822789
K02322,K13933,-0.003050224905498
K02663,K13933,0.4536940913990422
K03006,K13933,0.0067041432516985
K03041,K13933,0.0366728938704375
K03042,K13933,-0.0261018699166758
K03231,K13933,0.0344077606197596
K03243,K13933,0.0110760448199782
K03278,K13933,-0.0292320117963585
K03289,K13933,0.0550322886951936
K06932,K13933,-0.0025452821019017
K07463,K13933,0.0025333551894027
K10725,K13933,0.0129889028178248
K11707,K13933,-0.1635394818365963
K11708,K13933,-0.1834336173690581
K11709,K13933,-0.1920511491888767
K11710,K13933,-0.1725674945322685
K00399,K14430,0.0500379337028783
K00400,K14430,0.0572012190137926
K02322,K14430,0.0711910292442799
K02663,K14430,0.0734627220957631
K03006,K14430,0.1549295555799841
K03041,K14430,0.0428433799506624
K03042,K14430,0.0648547000705758
K03231,K14430,0.0823484769539644
K03243,K14430,0.02944931217844
K03278,K14430,-0.0337892789998106
K03289,K14430,-0.0503534740198175
K06932,K14430,0.0445463888465621
K07463,K14430,0.0526712217536275
K10725,K14430,0.0341494700396454
K11707,K14430,0.0166332802925673
K11708,K14430,0.0042666422475753
K11709,K14430,0.0016987004490096
K11710,K14430,0.0136055864093669
K13933,K14430,-0.105236623491835
